problem_id,difficulty_score,avg_accuracy,std_accuracy,num_epochs
168,1.0,0.0,0.0,10
28,1.0,0.0,0.0,10
31,1.0,0.0,0.0,10
33,1.0,0.0,0.0,10
37,1.0,0.0,0.0,10
175,1.0,0.0,0.0,10
55,1.0,0.0,0.0,10
163,1.0,0.0,0.0,10
77,1.0,0.0,0.0,10
86,1.0,0.0,0.0,10
90,1.0,0.0,0.0,10
91,1.0,0.0,0.0,10
94,1.0,0.0,0.0,10
95,1.0,0.0,0.0,10
99,1.0,0.0,0.0,10
153,1.0,0.0,0.0,10
106,1.0,0.0,0.0,10
107,1.0,0.0,0.0,10
148,1.0,0.0,0.0,10
111,1.0,0.0,0.0,10
114,1.0,0.0,0.0,10
143,1.0,0.0,0.0,10
118,1.0,0.0,0.0,10
139,1.0,0.0,0.0,10
131,1.0,0.0,0.0,10
30,1.0,0.0,0.0,10
137,1.0,0.0,0.0,10
18,1.0,0.0,0.0,10
186,1.0,0.0,0.0,10
188,1.0,0.0,0.0,10
53,0.9,0.1,0.30000000000000004,10
128,0.9,0.1,0.30000000000000004,10
46,0.9,0.1,0.30000000000000004,10
121,0.9,0.1,0.30000000000000004,10
43,0.9,0.1,0.30000000000000004,10
181,0.9,0.1,0.30000000000000004,10
127,0.9,0.1,0.30000000000000004,10
98,0.9,0.1,0.30000000000000004,10
23,0.9,0.1,0.30000000000000004,10
93,0.9,0.1,0.30000000000000004,10
156,0.9,0.1,0.30000000000000004,10
165,0.9,0.1,0.30000000000000004,10
187,0.9,0.1,0.30000000000000004,10
48,0.8,0.2,0.4000000000000001,10
14,0.8,0.2,0.4000000000000001,10
57,0.8,0.2,0.4000000000000001,10
122,0.8,0.2,0.4000000000000001,10
160,0.8,0.2,0.4000000000000001,10
140,0.8,0.2,0.4000000000000001,10
132,0.8,0.2,0.4000000000000001,10
24,0.8,0.2,0.4000000000000001,10
34,0.8,0.2,0.4000000000000001,10
4,0.8,0.2,0.4000000000000001,10
49,0.7,0.3,0.45825756949558394,10
183,0.7,0.3,0.45825756949558394,10
16,0.7,0.3,0.45825756949558394,10
141,0.7,0.3,0.45825756949558394,10
64,0.7,0.3,0.45825756949558405,10
116,0.7,0.3,0.45825756949558394,10
197,0.6,0.4,0.48989794855663565,10
19,0.6,0.4,0.48989794855663565,10
76,0.6,0.4,0.48989794855663565,10
159,0.6,0.4,0.4898979485566356,10
174,0.6,0.4,0.48989794855663565,10
126,0.6,0.4,0.48989794855663565,10
13,0.6,0.4,0.48989794855663565,10
171,0.5,0.5,0.5,10
129,0.5,0.5,0.5,10
184,0.5,0.5,0.5,10
54,0.5,0.5,0.5,10
80,0.5,0.5,0.5,10
145,0.5,0.5,0.5,10
