problem_id,avg_accuracy,difficulty_score,std_accuracy,num_epochs
1,0.0,1.0,0.0,5
77,0.0,1.0,0.0,5
143,0.0,1.0,0.0,5
88,0.0,1.0,0.0,5
87,0.0,1.0,0.0,5
144,0.0,1.0,0.0,5
85,0.0,1.0,0.0,5
84,0.0,1.0,0.0,5
145,0.0,1.0,0.0,5
82,0.0,1.0,0.0,5
147,0.0,1.0,0.0,5
148,0.0,1.0,0.0,5
152,0.0,1.0,0.0,5
153,0.0,1.0,0.0,5
76,0.0,1.0,0.0,5
141,0.0,1.0,0.0,5
75,0.0,1.0,0.0,5
73,0.0,1.0,0.0,5
72,0.0,1.0,0.0,5
71,0.0,1.0,0.0,5
158,0.0,1.0,0.0,5
69,0.0,1.0,0.0,5
68,0.0,1.0,0.0,5
161,0.0,1.0,0.0,5
66,0.0,1.0,0.0,5
163,0.0,1.0,0.0,5
64,0.0,1.0,0.0,5
164,0.0,1.0,0.0,5
142,0.0,1.0,0.0,5
92,0.0,1.0,0.0,5
122,0.0,1.0,0.0,5
129,0.0,1.0,0.0,5
120,0.0,1.0,0.0,5
119,0.0,1.0,0.0,5
123,0.0,1.0,0.0,5
124,0.0,1.0,0.0,5
116,0.0,1.0,0.0,5
114,0.0,1.0,0.0,5
113,0.0,1.0,0.0,5
112,0.0,1.0,0.0,5
111,0.0,1.0,0.0,5
110,0.0,1.0,0.0,5
109,0.0,1.0,0.0,5
127,0.0,1.0,0.0,5
130,0.0,1.0,0.0,5
93,0.0,1.0,0.0,5
132,0.0,1.0,0.0,5
133,0.0,1.0,0.0,5
103,0.0,1.0,0.0,5
102,0.0,1.0,0.0,5
134,0.0,1.0,0.0,5
136,0.0,1.0,0.0,5
99,0.0,1.0,0.0,5
2,0.0,1.0,0.0,5
97,0.0,1.0,0.0,5
138,0.0,1.0,0.0,5
139,0.0,1.0,0.0,5
94,0.0,1.0,0.0,5
62,0.0,1.0,0.0,5
61,0.0,1.0,0.0,5
