problem_id,avg_accuracy,difficulty_score,std_accuracy,num_epochs
1,0.0,1.0,0.0,5
47,0.0,1.0,0.0,5
57,0.0,1.0,0.0,5
56,0.0,1.0,0.0,5
55,0.0,1.0,0.0,5
54,0.0,1.0,0.0,5
50,0.0,1.0,0.0,5
48,0.0,1.0,0.0,5
45,0.0,1.0,0.0,5
59,0.0,1.0,0.0,5
44,0.0,1.0,0.0,5
2,0.0,1.0,0.0,5
42,0.0,1.0,0.0,5
41,0.0,1.0,0.0,5
40,0.0,1.0,0.0,5
39,0.0,1.0,0.0,5
58,0.0,1.0,0.0,5
60,0.0,1.0,0.0,5
37,0.0,1.0,0.0,5
73,0.0,1.0,0.0,5
82,0.0,1.0,0.0,5
79,0.0,1.0,0.0,5
77,0.0,1.0,0.0,5
76,0.0,1.0,0.0,5
75,0.0,1.0,0.0,5
74,0.0,1.0,0.0,5
72,0.0,1.0,0.0,5
61,0.0,1.0,0.0,5
71,0.0,1.0,0.0,5
68,0.0,1.0,0.0,5
66,0.0,1.0,0.0,5
64,0.0,1.0,0.0,5
63,0.0,1.0,0.0,5
62,0.0,1.0,0.0,5
38,0.0,1.0,0.0,5
43,0.0,1.0,0.0,5
36,0.0,1.0,0.0,5
22,0.0,1.0,0.0,5
3,0.0,1.0,0.0,5
5,0.0,1.0,0.0,5
6,0.0,1.0,0.0,5
7,0.0,1.0,0.0,5
8,0.0,1.0,0.0,5
9,0.0,1.0,0.0,5
12,0.0,1.0,0.0,5
14,0.0,1.0,0.0,5
15,0.0,1.0,0.0,5
16,0.0,1.0,0.0,5
35,0.0,1.0,0.0,5
18,0.0,1.0,0.0,5
19,0.0,1.0,0.0,5
20,0.0,1.0,0.0,5
83,0.0,1.0,0.0,5
33,0.0,1.0,0.0,5
31,0.0,1.0,0.0,5
30,0.0,1.0,0.0,5
29,0.0,1.0,0.0,5
28,0.0,1.0,0.0,5
25,0.0,1.0,0.0,5
26,0.0,1.0,0.0,5
27,0.0,1.0,0.0,5
24,0.0,1.0,0.0,5
67,0.2,0.8,0.4,5
11,0.2,0.8,0.4,5
80,0.2,0.8,0.4,5
69,0.2,0.8,0.4,5
81,0.2,0.8,0.4000000000000001,5
49,0.2,0.8,0.4000000000000001,5
51,0.2,0.8,0.4000000000000001,5
10,0.4,0.6,0.48989794855663565,5
52,0.4,0.6,0.48989794855663565,5
21,0.4,0.6,0.48989794855663565,5
13,0.4,0.6,0.48989794855663565,5
78,0.6,0.4,0.48989794855663565,5
4,0.8,0.19999999999999996,0.4000000000000001,5
34,0.8,0.19999999999999996,0.4,5
23,0.8,0.19999999999999996,0.4,5
70,0.8,0.19999999999999996,0.4,5
65,0.8,0.19999999999999996,0.4000000000000001,5
53,0.8,0.19999999999999996,0.4,5
17,0.8,0.19999999999999996,0.4,5
46,1.0,0.0,0.0,5
